"show_1","show_2","distance"
"Blue Exorcist","Naruto","0.626624103942652"
"Naruto","Akame ga Kill!","0.718644679826673"
"Akame ga Kill!","Naruto","0.718644679826673"
"Naruto","Sword Art Online","0.602106810387065"
"Sword Art Online","Naruto","0.602106810387065"
"Naruto","Noragami: Stray God","0.689133269089054"
"Noragami: Stray God","Naruto","0.689133269089054"
"Naruto","No Game, No Life","0.676983649587138"
"No Game, No Life","Naruto","0.676983649587138"
"Naruto","Code Geass: Lelouch of the Rebellion R2","0.604204235148642"
"Code Geass: Lelouch of the Rebellion R2","Naruto","0.604204235148642"
"Naruto","Death Note","0.527934324384291"
"Death Note","Naruto","0.527934324384291"
"Naruto","Attack on Titan","0.599431261031575"
"Attack on Titan","Naruto","0.599431261031575"
"Naruto","Soul Eater","0.641661429469234"
"Soul Eater","Naruto","0.641661429469234"
"Naruto","Elfen Lied","0.617504130624939"
"Elfen Lied","Naruto","0.617504130624939"
"Naruto","One Punch Man","0.660211267605634"
"One Punch Man","Naruto","0.660211267605634"
"Naruto","The Future Diary","0.665918443696222"
"The Future Diary","Naruto","0.665918443696222"
"Naruto","Fullmetal Alchemist","0.590439689130203"
"Fullmetal Alchemist","Naruto","0.590439689130203"
"Naruto","Gurren Lagann","0.677076556061592"
"Gurren Lagann","Naruto","0.677076556061592"
"Naruto","Angel Beats!","0.63499297037863"
"Angel Beats!","Naruto","0.63499297037863"
"Naruto","Code Geass: Lelouch of the Rebellion","0.581086381017747"
"Code Geass: Lelouch of the Rebellion","Naruto","0.581086381017747"
"Sword Art Online II","Blue Exorcist","0.62363662456946"
"Blue Exorcist","Sword Art Online II","0.62363662456946"
"Sword Art Online II","Akame ga Kill!","0.49736197475033"
"Akame ga Kill!","Sword Art Online II","0.49736197475033"
"Sword Art Online II","Sword Art Online","0.449311221077973"
"Sword Art Online","Sword Art Online II","0.449311221077973"
"Sword Art Online II","Noragami: Stray God","0.55516737081573"
"Noragami: Stray God","Sword Art Online II","0.55516737081573"
"Sword Art Online II","No Game, No Life","0.472532814778804"
"No Game, No Life","Sword Art Online II","0.472532814778804"
"Sword Art Online II","Code Geass: Lelouch of the Rebellion R2","0.69898905305976"
"Code Geass: Lelouch of the Rebellion R2","Sword Art Online II","0.69898905305976"
